Muestra,Dato__1,Dato__2,Dato__3,Dato__4,Dato__5,Dato__6,Dato__7,Dato__8,Dato__9,Dato__10,Dato__11,Dato__12,Dato__13,Dato__14,Dato__15,Dato__16,Dato__17,Dato__18,Dato__19,Dato__20,Dato__21,Dato__22,Dato__23,Dato__24,Dato__25,Dato__26,Dato__27,Dato__28,Dato__29,Dato__30
Muestra__407,58,33,28,35,54,32,34,31,28,34,31,37,26,29,38,29,46,33,42,25,44,40,45,27,65,29,40,34,26,26
Muestra__408,24,46,33,35,45,45,40,42,36,31,25,46,29,24,55,40,27,34,22,37,52,36,35,24,26,25,38,35,32,32
Muestra__409,33,23,34,24,53,19,35,34,30,45,22,45,22,34,38,37,32,35,46,27,30,31,42,40,35,31,32,42,25,33
Muestra__410,24,46,35,40,55,55,40,22,34,33,31,35,31,27,24,31,34,36,38,43,52,24,27,29,29,65,33,27,30,49
Muestra__411,25,63,26,44,31,42,53,65,30,45,31,31,35,27,55,60,24,34,36,52,34,31,28,46,33,38,46,37,48,37
Muestra__412,58,29,34,33,34,25,31,28,54,26,23,34,22,63,45,40,33,46,31,33,30,31,24,27,40,40,27,25,32,50
Muestra__413,34,28,31,40,31,58,25,22,40,43,31,22,45,23,36,34,47,44,65,26,43,35,42,26,27,NA,63,46,38,46
Muestra__414,35,37,39,34,24,40,60,45,54,32,36,22,34,55,44,44,42,48,58,27,34,27,27,NA,33,24,40,36,29,34
Muestra__415,42,48,25,39,39,29,22,28,34,27,45,27,31,31,29,38,33,26,33,46,37,37,31,46,28,44,34,24,31,54
Muestra__416,52,34,31,22,35,25,28,65,26,25,65,38,26,33,34,40,55,26,38,NA,34,33,28,30,45,43,60,45,37,32
Muestra__417,26,52,31,40,48,34,50,49,26,27,31,38,26,65,46,31,35,24,46,40,26,31,28,58,35,44,40,24,50,28
Muestra__418,39,42,27,22,44,32,60,40,35,26,22,36,52,58,25,55,46,29,40,35,34,40,46,49,31,34,24,29,54,31
Muestra__419,38,19,25,33,40,35,34,65,47,26,37,37,33,32,32,35,24,33,27,26,31,35,65,26,29,63,42,37,31,40
Muestra__420,36,28,53,46,32,31,46,55,35,30,30,31,31,50,32,52,26,37,46,45,40,39,50,29,40,35,28,34,28,27
Muestra__421,25,32,35,63,52,32,46,48,45,45,24,26,27,33,30,55,55,39,25,34,34,35,35,26,44,27,35,28,54,42
Muestra__422,35,40,26,50,58,NA,24,25,30,37,46,28,34,23,26,49,42,33,35,37,60,32,29,40,43,36,58,32,32,35
Muestra__423,35,55,33,27,30,58,22,27,36,36,27,26,38,38,NA,39,50,24,34,33,37,34,32,22,29,34,47,35,33,40
Muestra__424,28,47,36,40,40,31,33,45,38,34,52,42,31,46,38,65,29,32,43,26,25,27,50,37,30,37,24,35,31,32
Muestra__425,38,50,58,33,NA,38,30,36,26,30,32,19,26,34,63,43,27,39,44,48,37,46,40,25,49,32,38,28,60,28
Muestra__426,52,34,40,30,26,42,24,40,47,25,36,38,35,31,38,49,NA,55,35,31,65,33,40,29,26,32,43,24,25,19
Muestra__427,28,31,29,63,36,35,34,49,53,35,46,35,37,42,45,27,33,32,22,27,48,58,44,33,25,40,65,38,30,46
Muestra__428,48,31,40,28,28,25,31,34,28,46,34,31,36,35,33,46,38,29,24,25,27,33,34,34,46,40,32,40,22,49
Muestra__429,29,37,34,29,34,44,35,43,33,35,46,46,44,40,63,31,34,30,22,36,52,58,55,55,65,40,60,58,37,35
Muestra__430,65,35,36,35,40,52,35,46,27,50,48,33,49,53,36,NA,58,30,42,31,43,31,37,24,23,58,39,24,46,40
Muestra__431,32,33,33,32,NA,31,25,44,39,22,34,34,50,37,28,45,31,31,52,30,36,24,55,33,46,34,32,37,28,34
Muestra__432,35,32,42,27,36,42,35,37,35,34,54,31,38,26,34,37,52,34,25,NA,45,29,33,26,40,25,46,31,27,50
Muestra__433,42,24,24,32,31,25,24,40,63,31,45,24,58,35,43,27,22,NA,31,33,45,25,55,40,34,33,26,65,19,35
Muestra__434,42,31,24,22,36,49,24,33,42,32,46,36,58,35,31,NA,35,26,24,29,29,34,27,36,37,47,35,33,25,34
Muestra__435,35,33,30,27,32,24,34,44,40,48,22,33,46,22,42,40,47,25,36,32,36,22,36,40,35,34,32,NA,29,63
Muestra__436,29,34,40,55,31,27,32,34,45,40,36,46,40,22,27,34,30,25,48,65,35,32,43,31,NA,26,42,22,34,46
Muestra__437,36,33,55,43,33,25,22,27,24,40,24,53,34,46,22,40,37,46,40,42,60,34,65,23,24,33,46,32,26,49
Muestra__438,26,35,48,63,40,35,24,40,31,40,42,33,36,40,45,36,29,42,30,30,34,31,34,55,28,35,33,58,31,55
Muestra__439,42,34,34,32,42,28,35,33,44,44,30,25,40,37,38,26,32,42,33,52,25,29,55,22,58,46,34,46,26,39
Muestra__440,34,34,22,33,35,52,33,50,40,31,24,32,35,46,31,44,40,27,23,29,33,30,24,34,28,22,46,42,55,38
Muestra__441,40,52,28,31,33,29,31,29,36,30,26,27,24,32,49,54,33,24,28,22,35,45,24,31,29,39,24,37,37,38
Muestra__442,58,27,43,44,30,43,28,31,28,63,35,29,35,32,42,24,65,53,37,24,22,36,34,34,27,35,55,26,25,40
Muestra__443,28,31,22,42,27,42,45,46,55,55,39,40,34,44,27,60,19,24,38,26,55,35,27,28,48,35,27,25,32,26
Muestra__444,36,40,49,27,32,35,35,52,38,47,25,40,34,26,52,43,30,54,35,44,40,48,38,25,63,36,58,40,NA,50
Muestra__445,24,31,52,42,39,27,45,22,40,36,32,32,32,31,42,45,30,54,40,48,25,35,34,26,40,19,46,31,33,31
Muestra__446,48,38,31,25,40,46,40,24,26,NA,46,29,55,22,32,45,30,65,27,27,38,44,35,NA,48,46,34,33,34,46
Muestra__447,55,65,35,38,36,30,26,29,37,33,34,30,31,44,60,42,34,27,33,19,27,42,40,48,37,44,32,35,27,54
Muestra__448,28,31,35,25,40,43,29,42,35,39,19,54,28,33,22,31,27,48,46,30,42,32,48,55,27,24,34,36,35,32
Muestra__449,27,34,49,40,38,37,31,24,39,40,48,35,37,33,45,32,31,36,60,29,33,24,33,54,29,31,55,25,50,25
Muestra__450,52,27,50,22,40,46,29,65,32,58,45,42,31,24,34,33,40,37,24,26,32,39,63,32,31,42,19,35,37,40
Muestra__451,35,45,38,25,35,34,37,40,50,46,31,26,31,37,45,35,55,30,NA,42,22,47,40,26,38,31,33,33,28,40
Muestra__452,40,34,31,24,48,33,42,24,27,43,NA,33,27,58,19,35,33,39,32,46,NA,46,40,40,33,27,46,29,58,45
Muestra__453,25,27,24,40,55,36,27,37,25,32,55,29,25,35,44,31,29,40,30,60,40,33,65,35,42,35,52,40,30,31
Muestra__454,26,31,43,54,46,48,34,30,39,47,58,35,28,35,34,25,36,49,32,25,37,38,42,30,NA,27,24,27,34,36
Muestra__455,30,40,27,39,33,25,29,31,35,28,54,28,NA,35,30,35,46,26,55,43,35,29,31,26,65,27,47,34,30,24
Muestra__456,48,31,37,25,27,22,36,38,47,65,39,34,30,36,28,36,33,29,45,45,58,32,42,40,32,63,46,22,26,46
Muestra__457,55,26,36,44,22,34,27,58,52,26,27,31,40,49,29,24,40,53,40,25,63,27,33,32,25,31,46,22,40,33
Muestra__458,27,35,34,32,29,40,37,46,50,27,30,46,28,33,31,60,40,38,35,27,34,31,36,34,24,38,37,58,40,33
Muestra__459,22,29,31,25,29,24,27,33,45,28,36,34,40,42,33,55,28,38,35,26,24,43,65,46,47,42,58,34,35,34
Muestra__460,40,40,28,39,63,48,30,29,43,25,24,50,34,58,60,37,31,44,22,31,39,25,46,27,28,53,38,33,27,45
Muestra__461,31,34,25,33,27,27,34,32,35,46,35,32,52,30,33,39,26,25,27,29,44,55,31,37,53,31,33,50,43,34
Muestra__462,19,29,40,24,48,36,31,32,33,32,24,33,32,44,32,27,42,46,34,50,NA,35,22,35,22,31,65,30,46,31
Muestra__463,30,40,34,26,58,38,32,43,34,45,65,43,31,36,42,33,29,27,30,36,28,33,39,22,27,24,37,48,46,28
Muestra__464,52,46,33,31,30,27,29,NA,39,40,34,22,28,35,35,48,26,40,28,33,44,33,38,31,58,26,29,29,36,34
Muestra__465,32,33,35,50,33,34,19,28,54,52,25,37,45,31,46,60,65,29,36,22,32,31,40,40,35,30,65,55,53,36
Muestra__466,37,35,27,36,35,45,30,60,34,35,40,28,35,55,28,40,26,33,55,28,NA,46,42,35,52,38,36,27,25,44
Muestra__467,22,65,33,25,31,29,35,26,31,46,35,31,36,50,19,38,27,25,45,31,42,44,24,32,34,27,26,26,31,29
Muestra__468,44,36,31,58,24,33,35,52,27,22,33,39,35,34,22,40,27,46,48,27,26,31,45,35,27,50,43,NA,33,42
Muestra__469,32,26,38,29,39,58,36,24,35,31,46,31,42,63,40,37,27,33,25,33,33,35,33,35,31,34,29,22,48,55
Muestra__470,38,33,32,39,25,45,47,35,38,31,46,34,35,42,27,35,38,32,22,37,40,35,24,44,36,40,34,53,34,28
Muestra__471,35,22,27,45,33,28,46,48,35,46,33,33,32,33,32,32,30,52,27,26,27,65,40,58,29,34,52,34,34,29
Muestra__472,26,26,24,40,37,45,34,36,19,58,33,33,31,48,NA,25,26,27,45,44,34,46,36,33,27,38,26,39,30,30
Muestra__473,24,29,34,31,27,31,49,32,55,33,25,33,22,35,31,34,31,24,45,38,46,30,29,34,33,27,31,32,22,36
Muestra__474,39,32,55,26,22,40,29,36,35,50,35,48,46,35,33,60,38,32,25,46,65,36,43,32,19,45,45,25,28,26
Muestra__475,26,31,28,31,52,46,NA,44,30,27,26,32,48,30,23,35,31,29,65,53,35,40,35,32,35,33,27,31,25,46
Muestra__476,31,35,31,28,40,24,26,26,40,22,34,42,46,35,45,22,52,29,40,25,31,60,34,27,40,58,45,37,33,25
Muestra__477,31,43,35,25,45,46,24,40,24,28,27,33,26,31,30,42,40,32,35,58,32,29,40,34,33,34,34,35,28,40
Muestra__478,40,29,52,31,40,33,22,29,46,29,42,40,55,39,26,24,35,44,45,34,28,22,24,49,32,35,27,30,55,31
Muestra__479,35,43,34,45,NA,31,36,63,52,36,33,26,28,52,47,32,27,35,46,33,55,46,27,58,24,50,33,25,30,48
Muestra__480,45,46,27,36,33,35,31,39,40,55,32,26,35,48,27,38,24,23,32,31,60,46,35,26,30,27,32,33,24,34
Muestra__481,31,50,34,26,30,34,27,48,33,45,34,34,33,24,55,35,38,28,40,36,65,38,58,36,NA,24,37,31,65,27
Muestra__482,48,32,34,24,40,55,53,46,46,32,63,29,47,38,26,48,55,30,34,42,24,38,28,60,31,31,31,43,24,30
Muestra__483,31,46,40,30,35,44,22,27,46,35,38,32,42,28,25,33,42,34,54,33,39,44,35,30,60,24,46,27,31,37
Muestra__484,39,35,52,27,33,29,35,26,33,27,28,32,38,48,43,24,31,58,30,38,42,24,53,55,31,40,46,40,36,34
Muestra__485,44,28,42,27,47,37,30,35,63,34,49,33,52,26,35,40,52,40,31,31,48,53,28,35,35,40,35,50,24,32
Muestra__486,65,22,29,37,36,38,27,19,29,32,42,34,43,60,36,52,34,30,23,22,26,42,38,34,46,32,49,53,40,65
Muestra__487,49,34,25,34,34,37,52,22,31,24,35,58,24,28,32,37,26,29,30,65,53,50,35,22,44,55,40,25,35,27
Muestra__488,19,31,29,36,40,54,25,29,37,34,40,31,32,58,28,40,34,31,27,NA,31,44,35,26,52,28,60,52,31,33
Muestra__489,40,27,22,58,35,26,34,24,40,45,46,35,29,48,31,39,46,33,40,39,35,27,NA,38,36,40,26,34,37,55
Muestra__490,31,43,31,63,40,28,40,47,55,30,33,45,26,34,24,25,26,49,40,33,23,33,NA,29,27,24,36,31,39,31
Muestra__491,27,44,24,35,26,34,49,45,35,33,48,36,34,58,35,25,33,29,44,52,33,60,46,26,28,24,30,26,19,36
Muestra__492,30,37,58,35,43,31,40,38,25,42,34,22,26,52,34,40,28,36,42,53,27,26,32,34,58,40,40,33,22,31
Muestra__493,47,34,30,NA,46,49,40,42,48,55,45,35,26,28,28,26,45,24,37,43,34,25,36,36,58,60,40,36,40,53
Muestra__494,24,25,65,28,28,58,35,31,22,36,40,42,34,30,28,34,39,40,35,26,35,31,53,22,25,38,46,40,33,35
Muestra__495,26,32,48,46,32,29,58,NA,24,24,22,30,40,46,27,31,43,48,42,53,42,33,31,60,43,46,29,25,34,40
Muestra__496,25,45,34,34,40,34,24,25,26,46,24,53,22,27,60,48,55,31,34,34,30,35,46,52,22,46,27,50,32,37
Muestra__497,35,40,24,32,26,26,26,32,22,35,37,24,29,25,32,35,NA,34,42,46,38,25,65,22,40,65,35,40,39,40
Muestra__498,60,24,46,33,40,25,33,28,44,49,47,27,34,40,34,22,54,27,32,33,30,34,29,35,52,24,40,45,37,32
Muestra__499,22,31,45,35,NA,26,63,42,26,34,50,30,48,45,28,31,34,45,36,25,31,31,28,34,29,46,40,26,25,32
Muestra__500,38,33,54,32,32,65,32,NA,31,35,40,40,40,47,27,50,35,36,55,22,32,40,34,60,22,44,44,38,35,32
Muestra__501,54,33,55,27,35,45,33,35,47,26,38,22,52,30,22,31,31,37,31,60,58,55,24,31,46,42,35,46,NA,45
Muestra__502,29,32,26,42,31,32,26,32,26,36,27,54,NA,49,43,53,35,29,34,35,24,35,39,27,55,40,22,34,55,24
Muestra__503,33,48,42,40,46,34,40,32,35,36,48,44,45,31,33,38,28,40,43,32,37,32,31,29,25,35,27,31,34,31
Muestra__504,30,45,31,37,32,35,46,34,44,NA,46,40,33,52,40,26,27,27,40,60,34,34,27,38,50,33,34,54,25,40
Muestra__505,45,55,55,34,27,22,35,39,23,31,38,31,19,39,46,46,33,29,27,40,31,31,37,46,52,25,42,40,35,28
Muestra__506,31,46,32,37,24,65,34,40,43,33,50,40,29,35,35,39,35,43,31,31,48,NA,40,40,46,31,26,42,22,38
Muestra__507,36,35,35,33,31,27,65,65,25,24,35,22,31,43,50,47,58,45,25,35,30,34,35,29,27,31,NA,35,26,26
Muestra__508,39,31,33,58,33,38,24,33,46,38,NA,34,22,48,33,34,34,29,35,33,37,31,40,26,32,52,49,33,35,40
Muestra__509,36,37,46,24,25,23,35,25,39,46,40,48,NA,58,47,44,65,30,35,29,26,22,34,31,42,22,36,31,45,40
Muestra__510,45,33,33,55,34,40,38,34,33,31,42,22,34,31,27,65,31,NA,45,53,46,26,46,26,65,34,35,36,35,52
Muestra__511,50,31,35,40,33,44,53,44,29,40,46,46,44,52,29,58,31,27,63,32,47,43,31,32,65,36,45,32,NA,31
Muestra__512,60,26,32,34,46,26,31,43,48,25,33,27,24,22,50,45,30,30,46,26,26,27,36,38,49,33,29,33,40,28
Muestra__513,34,55,40,42,36,29,37,46,48,46,33,24,32,29,24,46,27,31,35,33,32,22,45,46,30,45,34,36,40,65
Muestra__514,22,28,34,33,27,35,58,40,31,65,27,24,31,53,37,47,35,50,58,35,55,42,42,24,39,31,34,44,44,26
Muestra__515,31,24,52,27,31,46,25,35,35,39,55,31,35,26,26,27,34,29,34,27,28,25,46,38,19,65,47,31,37,25
Muestra__516,26,34,40,55,31,33,28,40,31,NA,26,29,30,45,34,49,19,52,29,33,40,24,36,33,65,38,44,22,35,31
Muestra__517,35,46,53,40,34,26,44,27,33,40,35,29,48,36,22,31,26,22,36,32,50,36,38,30,52,34,65,29,31,33
Muestra__518,31,31,46,39,31,50,34,37,46,40,31,25,35,33,24,40,34,55,28,35,23,35,34,32,35,36,27,65,26,32
Muestra__519,46,33,40,25,22,36,47,35,35,39,31,49,45,43,42,65,55,27,29,29,40,26,36,28,29,32,28,30,32,45
Muestra__520,31,40,27,32,34,31,30,NA,40,26,35,28,47,46,34,33,45,46,36,27,31,31,29,44,24,24,49,40,35,48
Muestra__521,31,32,35,32,34,30,28,28,55,46,52,40,46,65,48,19,27,31,25,40,42,31,35,40,49,39,37,32,34,34
Muestra__522,35,34,58,32,26,35,44,30,25,54,37,27,27,40,35,26,38,65,25,45,40,29,26,33,26,36,45,25,31,27
Muestra__523,33,38,50,27,65,31,55,24,53,32,45,38,31,37,28,NA,28,36,35,40,31,34,60,58,35,42,35,48,30,63
Muestra__524,28,25,34,63,47,55,22,43,36,52,39,26,34,29,40,24,33,42,35,58,60,65,24,23,32,22,22,32,37,43
Muestra__525,33,31,33,45,32,39,40,40,35,27,22,40,36,45,32,58,34,22,55,25,42,35,34,27,31,28,65,35,27,55
Muestra__526,26,46,45,48,43,35,26,46,49,24,27,40,58,34,46,25,55,33,32,31,25,58,32,33,44,55,25,35,32,24
Muestra__527,35,32,42,34,38,27,38,35,35,31,40,35,44,26,38,36,55,33,29,46,55,32,53,40,27,33,39,39,65,40
Muestra__528,33,26,65,46,31,45,38,46,27,48,28,31,40,34,36,35,42,32,23,27,22,46,31,38,55,32,58,33,33,55
Muestra__529,32,33,24,34,32,37,54,22,31,24,40,22,55,27,34,26,28,NA,27,42,35,25,65,35,46,NA,52,26,50,31
Muestra__530,31,35,34,26,32,28,35,36,55,31,58,NA,35,35,34,31,31,28,44,34,27,36,34,31,53,32,37,23,38,33
Muestra__531,24,22,32,36,24,27,36,34,38,22,35,19,45,24,36,58,35,40,40,33,42,NA,58,38,32,31,52,34,40,33
Muestra__532,40,54,33,31,31,44,23,34,32,31,35,24,40,26,42,46,53,19,40,55,38,32,34,35,26,26,47,65,32,27
Muestra__533,35,33,31,29,34,46,37,31,35,45,40,31,30,40,22,33,27,25,50,22,43,65,32,63,26,35,55,58,25,19
Muestra__534,34,44,39,22,52,34,38,26,40,26,36,45,46,29,33,33,48,50,40,24,46,24,32,40,35,34,58,31,28,27
Muestra__535,38,32,34,26,33,33,53,37,29,34,46,NA,27,24,45,28,26,50,33,35,44,48,43,36,55,32,52,58,24,40
Muestra__536,46,25,30,33,31,24,27,55,26,34,42,65,24,31,42,38,40,22,58,35,39,46,30,22,26,26,35,31,26,35
Muestra__537,34,55,60,31,58,32,28,34,49,33,32,24,NA,63,37,31,35,52,42,35,40,23,35,25,38,40,46,55,45,33
Muestra__538,46,54,40,34,40,35,33,50,36,40,27,27,23,40,22,39,24,58,37,31,44,42,45,31,40,37,30,34,46,45
Muestra__539,32,34,31,27,58,63,23,33,33,50,65,33,24,28,39,31,45,32,31,22,29,38,40,26,30,31,30,22,NA,47
Muestra__540,40,50,65,36,32,31,37,28,40,46,53,34,34,31,46,45,31,26,46,52,44,35,40,35,28,48,52,37,42,24
Muestra__541,22,35,32,25,50,33,46,47,22,33,31,34,38,31,33,24,34,54,46,28,65,22,27,36,28,44,NA,50,52,65
Muestra__542,27,52,33,29,31,34,45,43,44,44,37,22,35,37,35,35,55,30,22,28,45,32,58,40,27,52,28,31,42,35
Muestra__543,34,34,26,48,46,40,52,22,31,35,63,22,30,33,35,29,39,40,24,35,44,31,32,33,29,32,NA,31,32,36
Muestra__544,42,26,26,34,40,24,46,24,33,38,63,35,29,47,42,22,NA,24,43,31,45,40,40,32,37,44,34,45,25,53
Muestra__545,46,47,34,33,48,35,65,24,25,28,29,37,32,58,25,33,33,24,36,55,23,28,22,40,36,28,50,27,38,29
Muestra__546,28,45,65,29,36,34,34,47,60,24,32,31,37,24,31,33,40,31,NA,32,63,27,40,32,34,35,34,58,49,26
Muestra__547,22,24,29,35,36,31,26,34,29,46,40,NA,24,40,34,46,34,44,50,31,27,31,22,31,39,46,24,54,24,29
Muestra__548,52,36,24,49,42,36,30,28,32,27,31,26,24,NA,33,55,34,65,30,28,46,33,34,25,44,24,38,34,35,43
Muestra__549,47,27,35,22,40,37,24,40,22,33,39,44,31,46,48,54,34,29,36,43,46,NA,32,31,31,46,25,49,23,36
Muestra__550,31,40,23,27,NA,28,63,33,19,44,31,54,45,40,40,31,33,26,55,34,24,47,26,29,35,34,55,58,35,24
Muestra__551,26,55,33,32,36,38,31,22,25,27,33,48,34,55,24,40,58,36,24,50,35,37,34,45,37,31,33,28,40,46
Muestra__552,22,24,31,33,35,26,38,36,46,33,29,37,24,33,40,31,35,22,45,30,53,65,46,NA,40,43,35,52,28,29
Muestra__553,44,53,25,46,54,35,36,37,33,NA,32,35,30,24,31,32,34,29,31,46,33,33,24,40,36,34,45,46,33,27
Muestra__554,29,25,40,50,33,28,27,NA,30,30,28,31,31,53,27,54,40,45,36,31,52,46,29,55,32,24,36,24,34,33
Muestra__555,26,27,24,25,52,26,22,25,36,28,63,31,40,26,45,NA,31,44,40,40,30,36,27,42,55,39,32,33,22,46
Muestra__556,27,30,42,24,27,30,35,31,54,25,47,30,34,58,58,34,39,31,35,NA,35,31,35,31,27,36,22,25,39,37
Muestra__557,47,44,60,45,48,58,32,26,65,52,24,24,36,27,33,63,22,22,46,27,44,49,29,50,65,26,27,58,35,35
Muestra__558,28,30,NA,26,32,40,19,53,34,55,52,22,27,40,27,22,44,40,33,54,24,27,33,35,36,63,25,40,48,37
Muestra__559,22,40,49,35,58,40,48,29,52,31,40,46,34,30,46,39,40,48,35,44,36,27,26,45,33,34,26,36,37,NA
Muestra__560,24,29,NA,44,46,38,35,40,31,34,38,33,40,39,26,29,32,27,35,26,58,32,33,34,40,58,22,34,25,49
Muestra__561,34,30,31,30,34,29,27,34,27,33,23,33,47,36,35,35,50,24,45,29,32,28,35,35,54,60,33,42,32,35
Muestra__562,37,34,36,32,24,27,32,22,33,24,38,37,45,29,25,31,29,34,47,50,30,23,31,33,28,27,25,40,31,36
Muestra__563,26,35,45,26,27,43,34,60,48,33,31,44,49,31,NA,39,65,27,40,40,28,46,42,28,27,34,63,50,25,45
Muestra__564,37,29,27,52,24,28,40,38,34,40,34,42,47,54,33,24,33,26,31,55,27,37,36,58,39,24,24,32,36,63
Muestra__565,31,38,31,34,35,34,39,43,26,50,33,19,38,40,40,22,65,34,34,36,33,30,26,34,35,35,40,28,65,25
Muestra__566,30,38,24,44,48,53,27,52,46,19,37,NA,22,31,33,43,29,47,35,45,34,33,27,36,23,32,60,58,50,36
Muestra__567,52,37,29,35,34,55,26,39,40,24,29,36,27,46,24,65,22,34,26,50,37,30,33,29,33,31,35,26,35,42
Muestra__568,26,26,36,25,34,36,40,40,46,45,35,33,55,38,53,29,23,50,32,42,32,28,24,42,35,42,25,34,50,27
Muestra__569,44,19,35,40,31,33,42,26,40,50,25,26,28,31,39,63,27,35,43,53,29,24,35,42,33,48,33,24,31,26
Muestra__570,40,46,40,NA,31,46,34,27,45,28,30,40,36,34,29,28,35,34,26,42,40,40,26,43,54,52,31,32,40,35
Muestra__571,33,44,27,30,34,36,39,32,65,27,37,42,34,48,37,28,26,40,28,25,46,31,35,53,31,28,22,19,24,28
Muestra__572,35,28,46,34,34,26,52,43,50,39,30,27,46,25,35,42,32,27,33,29,34,37,26,23,55,43,27,24,40,35
Muestra__573,31,33,22,31,55,26,34,29,31,55,33,31,32,33,31,42,45,43,33,29,58,46,19,24,46,28,35,46,22,35
Muestra__574,52,22,46,52,48,46,54,34,30,29,29,28,40,63,31,40,24,50,42,40,34,35,27,37,42,26,34,26,45,40
Muestra__575,26,40,37,24,31,34,19,34,40,46,40,27,37,49,26,42,31,27,33,36,NA,44,46,34,34,29,35,44,60,24
Muestra__576,39,30,58,27,29,65,32,28,36,30,33,35,26,31,24,44,60,25,34,37,25,24,27,40,32,58,22,26,NA,24
Muestra__577,58,37,36,26,37,22,32,31,31,53,47,38,42,46,32,32,33,25,22,24,34,25,63,27,40,46,36,19,35,29
Muestra__578,30,33,40,22,38,35,28,33,32,31,39,19,22,36,27,27,36,29,33,34,52,24,24,42,40,36,NA,44,46,31
Muestra__579,42,33,36,40,26,22,27,34,48,38,35,31,65,32,42,31,27,28,33,52,53,55,39,39,28,26,30,38,48,26
Muestra__580,24,29,23,47,28,45,27,22,19,32,29,40,33,50,34,48,32,46,NA,45,46,29,39,34,53,43,40,32,32,28
Muestra__581,33,40,50,22,35,37,26,42,52,25,32,44,31,34,44,27,31,34,46,42,46,NA,40,32,31,65,43,35,31,28
Muestra__582,32,31,27,30,25,29,33,54,50,36,32,NA,34,45,30,28,33,25,42,25,44,32,38,31,46,28,42,40,53,24
Muestra__583,36,37,26,35,40,31,27,34,24,37,31,65,46,38,32,25,46,40,40,35,29,44,58,36,28,27,60,54,32,50
Muestra__584,63,31,NA,30,42,50,46,32,58,24,38,40,NA,22,31,52,43,46,33,25,27,28,44,26,33,24,65,35,35,33
Muestra__585,27,52,27,47,25,31,54,31,35,58,24,36,36,43,29,26,65,32,28,58,40,32,45,35,31,34,27,22,36,60
Muestra__586,50,32,27,50,29,26,40,19,44,46,35,38,54,52,65,65,32,60,39,22,22,28,29,36,46,34,35,30,33,27
Muestra__587,29,40,37,27,34,35,34,37,38,40,35,50,19,40,55,NA,45,25,45,28,24,30,28,34,47,58,40,55,34,25
Muestra__588,29,47,36,31,24,48,34,50,26,46,31,28,42,36,55,32,NA,27,26,27,28,34,26,65,30,44,24,34,35,52
Muestra__589,29,33,42,40,24,40,31,35,31,58,32,31,34,34,27,52,34,36,40,60,33,26,50,32,22,25,39,26,33,30
Muestra__590,19,22,40,48,31,34,32,24,27,35,29,40,37,35,NA,31,40,29,33,38,28,43,24,60,33,46,40,36,32,31
Muestra__591,30,34,54,27,27,65,34,50,63,32,55,40,55,34,58,48,40,32,19,35,NA,46,27,45,32,33,42,38,34,34
Muestra__592,52,40,33,44,29,45,34,40,34,36,37,25,35,33,31,33,31,55,26,29,55,NA,53,31,34,43,34,30,32,36
Muestra__593,28,44,36,27,23,40,31,40,43,22,24,42,38,25,26,32,31,50,29,35,27,44,55,24,37,28,22,50,29,28
Muestra__594,25,54,31,38,35,34,35,31,40,44,49,42,NA,40,30,34,43,28,50,31,40,34,28,44,39,48,27,40,26,31
Muestra__595,36,60,27,23,55,32,35,31,34,37,50,46,36,44,36,22,26,40,40,33,55,31,24,27,42,35,40,32,29,33
Muestra__596,37,31,26,31,40,39,44,27,29,24,35,58,34,36,35,39,42,25,33,26,63,37,32,46,40,30,50,44,35,54
Muestra__597,33,34,34,31,36,38,34,35,31,31,47,49,35,44,29,37,55,46,40,65,48,35,35,26,45,31,31,24,32,28
Muestra__598,31,28,22,37,42,30,37,26,44,31,29,26,NA,33,35,36,30,31,24,34,31,40,33,25,26,27,35,43,34,39
Muestra__599,33,39,52,30,27,40,22,34,26,55,40,40,29,28,37,31,43,23,45,31,32,24,50,52,46,46,45,28,31,28
Muestra__600,40,25,26,31,31,26,39,48,40,24,38,23,34,46,24,34,NA,32,25,27,31,55,54,34,28,47,35,40,29,26
Muestra__601,43,45,58,40,46,22,23,40,30,27,33,53,52,24,42,28,31,40,22,31,28,50,NA,38,25,35,26,29,26,NA
Muestra__602,33,32,31,40,28,55,43,30,31,52,55,38,31,39,58,40,22,60,46,44,31,50,44,27,27,54,24,28,25,52
Muestra__603,35,22,46,43,36,30,24,36,40,35,35,32,55,44,36,32,50,46,24,26,32,45,28,26,24,32,65,42,38,45
Muestra__604,35,26,60,42,28,47,33,52,40,31,28,27,NA,31,35,31,34,35,32,55,31,45,36,46,26,37,42,33,40,35
Muestra__605,31,40,24,29,39,40,40,24,35,28,19,42,39,29,31,65,35,36,42,29,33,46,53,26,33,22,45,55,46,29
Muestra__606,32,34,24,37,36,32,35,28,26,43,28,39,48,31,35,27,31,29,46,24,46,34,24,40,40,26,35,48,42,24
Muestra__607,28,29,28,31,35,40,22,35,25,35,45,25,46,34,34,42,32,40,33,31,29,22,39,25,31,26,37,34,46,46
Muestra__608,58,NA,28,22,26,35,27,47,24,40,28,60,65,46,34,28,50,48,29,30,32,31,30,22,40,35,33,29,34,40
Muestra__609,35,24,31,58,35,36,30,26,31,27,23,36,40,33,49,37,40,32,31,44,31,48,32,45,63,38,35,65,58,38
Muestra__610,35,29,30,27,58,49,NA,33,35,34,65,36,37,24,34,50,36,42,34,33,40,28,35,46,26,44,45,22,36,37
